age,income,loan_amount,credit_score,employment_years,existing_debts,home_ownership,loan_purpose,default
42,26371,41329,713,23,4,OWN,SMALL_BUSINESS,1
66,138894,3719,471,21,0,OWN,HOME_IMPROVEMENT,0
44,46069,23890,587,28,1,OWN,SMALL_BUSINESS,0
59,99905,12700,734,21,1,OWN,HOME_IMPROVEMENT,0
45,32910,37509,412,8,2,RENT,HOME_IMPROVEMENT,1
33,93479,43534,421,36,4,MORTGAGE,DEBT_CONSOLIDATION,1
32,97735,37766,843,9,2,MORTGAGE,MAJOR_PURCHASE,0
64,101264,27705,521,35,1,MORTGAGE,MAJOR_PURCHASE,1
68,43275,19787,338,36,2,MORTGAGE,HOME_IMPROVEMENT,0
61,92274,49845,796,27,4,RENT,DEBT_CONSOLIDATION,0
69,101449,27588,532,27,4,RENT,SMALL_BUSINESS,0
20,120776,27123,829,20,0,RENT,SMALL_BUSINESS,0
54,80004,34062,448,23,3,OWN,HOME_IMPROVEMENT,1
68,82981,11177,696,39,0,OWN,MAJOR_PURCHASE,0
24,104659,22727,601,1,4,OWN,DEBT_CONSOLIDATION,1
38,74553,31220,659,7,1,MORTGAGE,MAJOR_PURCHASE,1
26,68447,10882,537,26,1,OWN,SMALL_BUSINESS,0
56,54529,2136,535,21,0,MORTGAGE,MAJOR_PURCHASE,0
35,146394,35832,502,36,4,OWN,SMALL_BUSINESS,0
21,95703,32966,555,26,1,MORTGAGE,DEBT_CONSOLIDATION,0
42,96090,8009,534,28,4,OWN,DEBT_CONSOLIDATION,0
31,37260,13987,644,2,1,OWN,HOME_IMPROVEMENT,0
67,132581,38311,833,12,4,RENT,HOME_IMPROVEMENT,0
26,23812,32575,765,9,2,OWN,MAJOR_PURCHASE,1
43,48024,2007,840,35,4,OWN,DEBT_CONSOLIDATION,0
19,78656,6445,512,8,4,RENT,DEBT_CONSOLIDATION,1
37,136148,11706,762,26,0,MORTGAGE,HOME_IMPROVEMENT,0
45,47285,48517,735,33,2,RENT,SMALL_BUSINESS,0
64,112436,45486,582,0,3,RENT,MAJOR_PURCHASE,0
24,136421,30257,762,31,0,MORTGAGE,MAJOR_PURCHASE,0
61,21605,22736,706,24,3,OWN,HOME_IMPROVEMENT,1
25,91158,43207,387,28,1,MORTGAGE,DEBT_CONSOLIDATION,1
64,92303,14281,343,6,3,OWN,HOME_IMPROVEMENT,1
52,47139,2435,760,2,4,OWN,HOME_IMPROVEMENT,0
31,97149,34339,577,19,3,MORTGAGE,HOME_IMPROVEMENT,0
34,76138,36150,720,19,0,RENT,HOME_IMPROVEMENT,1
53,138205,26821,652,29,0,MORTGAGE,SMALL_BUSINESS,0
67,96125,27660,814,34,3,OWN,SMALL_BUSINESS,0
57,33918,6084,318,34,0,MORTGAGE,DEBT_CONSOLIDATION,0
21,105655,17661,322,38,0,MORTGAGE,HOME_IMPROVEMENT,1
19,47446,14507,712,26,3,OWN,SMALL_BUSINESS,0
23,144040,8059,329,25,2,RENT,DEBT_CONSOLIDATION,0
59,33046,19271,407,13,2,MORTGAGE,HOME_IMPROVEMENT,1
21,149922,46539,666,16,1,OWN,MAJOR_PURCHASE,0
46,44818,8491,580,17,0,OWN,SMALL_BUSINESS,1
35,120894,48295,427,28,3,MORTGAGE,DEBT_CONSOLIDATION,0
43,135751,15859,528,19,0,RENT,MAJOR_PURCHASE,0
61,24324,9073,410,26,4,MORTGAGE,HOME_IMPROVEMENT,1
51,96323,10077,435,17,0,RENT,HOME_IMPROVEMENT,0
27,29111,21953,661,3,0,RENT,HOME_IMPROVEMENT,0
53,58110,12383,485,0,2,RENT,SMALL_BUSINESS,0
31,36389,3353,428,0,3,RENT,DEBT_CONSOLIDATION,0
48,142177,24821,560,25,0,MORTGAGE,MAJOR_PURCHASE,0
65,61427,38567,814,19,2,OWN,DEBT_CONSOLIDATION,0
32,99579,25860,748,22,1,OWN,SMALL_BUSINESS,0
25,48746,22195,403,9,2,OWN,DEBT_CONSOLIDATION,1
31,142883,12939,782,10,2,OWN,SMALL_BUSINESS,0
40,107886,26338,523,4,2,OWN,HOME_IMPROVEMENT,0
57,127141,22730,790,0,0,OWN,MAJOR_PURCHASE,0
38,20117,22427,772,16,0,MORTGAGE,HOME_IMPROVEMENT,0
33,145808,36196,309,21,1,RENT,DEBT_CONSOLIDATION,1
62,132221,28083,704,33,4,OWN,HOME_IMPROVEMENT,0
35,104471,22510,601,28,4,MORTGAGE,MAJOR_PURCHASE,0
64,132613,45064,530,3,4,OWN,HOME_IMPROVEMENT,0
41,33234,8813,365,4,1,OWN,MAJOR_PURCHASE,0
43,149597,32598,411,10,4,RENT,MAJOR_PURCHASE,1
42,123864,48182,312,20,4,RENT,HOME_IMPROVEMENT,1
62,73441,28570,692,34,2,RENT,SMALL_BUSINESS,0
58,20846,28082,799,11,0,OWN,DEBT_CONSOLIDATION,0
46,30954,30241,533,25,0,OWN,SMALL_BUSINESS,1
32,99239,31678,613,18,2,OWN,SMALL_BUSINESS,1
62,133689,45569,311,6,2,RENT,HOME_IMPROVEMENT,1
18,66514,12745,508,6,2,MORTGAGE,DEBT_CONSOLIDATION,0
42,108236,27029,313,25,0,OWN,DEBT_CONSOLIDATION,0
24,117579,14025,717,39,4,OWN,SMALL_BUSINESS,0
26,148644,37124,736,4,2,OWN,HOME_IMPROVEMENT,1
41,26469,15288,676,20,1,MORTGAGE,DEBT_CONSOLIDATION,0
18,50105,24650,319,13,2,OWN,SMALL_BUSINESS,1
61,62101,7540,369,3,3,MORTGAGE,DEBT_CONSOLIDATION,1
25,84323,33232,510,22,2,OWN,HOME_IMPROVEMENT,0
41,111922,17422,400,19,0,MORTGAGE,HOME_IMPROVEMENT,0
28,78067,4342,431,14,2,OWN,HOME_IMPROVEMENT,0
68,69376,42846,680,28,3,RENT,DEBT_CONSOLIDATION,0
34,65587,36612,431,7,1,RENT,MAJOR_PURCHASE,1
25,56976,11396,319,18,4,RENT,DEBT_CONSOLIDATION,0
52,124587,18482,835,38,2,RENT,MAJOR_PURCHASE,1
52,147534,24411,526,27,3,OWN,HOME_IMPROVEMENT,0
50,87584,47766,453,26,3,RENT,SMALL_BUSINESS,1
22,124537,14261,768,3,1,MORTGAGE,MAJOR_PURCHASE,0
59,98477,4093,704,14,0,RENT,HOME_IMPROVEMENT,0
56,130911,12722,501,34,2,RENT,HOME_IMPROVEMENT,0
58,62533,23042,337,36,3,RENT,MAJOR_PURCHASE,1
45,21828,45413,487,0,1,OWN,SMALL_BUSINESS,1
24,21917,48851,356,2,4,RENT,HOME_IMPROVEMENT,1
26,40618,29087,319,23,3,MORTGAGE,MAJOR_PURCHASE,1
25,52254,33347,572,26,1,RENT,SMALL_BUSINESS,1
29,125292,34756,418,39,0,RENT,SMALL_BUSINESS,1
51,136714,40214,815,35,0,RENT,HOME_IMPROVEMENT,0
50,67362,17335,520,33,3,MORTGAGE,DEBT_CONSOLIDATION,0
65,40128,29602,825,28,3,RENT,DEBT_CONSOLIDATION,1
40,143781,49901,814,23,2,MORTGAGE,HOME_IMPROVEMENT,1
41,131281,35450,635,23,1,MORTGAGE,SMALL_BUSINESS,0
54,79383,33196,354,3,3,RENT,HOME_IMPROVEMENT,1
52,85545,6626,799,2,2,MORTGAGE,MAJOR_PURCHASE,0
61,102180,8424,835,33,2,OWN,DEBT_CONSOLIDATION,0
57,107958,13857,461,22,3,RENT,MAJOR_PURCHASE,0
39,29865,45923,458,22,0,RENT,HOME_IMPROVEMENT,1
44,22219,20982,487,4,1,MORTGAGE,HOME_IMPROVEMENT,0
52,59809,12425,359,30,1,MORTGAGE,SMALL_BUSINESS,0
18,136748,2980,618,5,0,RENT,SMALL_BUSINESS,0
52,25287,49290,510,36,3,OWN,SMALL_BUSINESS,1
54,146593,27431,705,9,1,MORTGAGE,MAJOR_PURCHASE,0
64,54387,20440,408,39,3,MORTGAGE,SMALL_BUSINESS,1
31,28512,42752,375,6,3,OWN,HOME_IMPROVEMENT,1
20,21342,18175,841,38,2,OWN,SMALL_BUSINESS,0
18,83076,49651,613,37,0,RENT,DEBT_CONSOLIDATION,0
22,128872,27385,416,20,3,OWN,SMALL_BUSINESS,1
43,39216,39158,318,19,4,RENT,MAJOR_PURCHASE,1
31,137512,24019,731,2,0,OWN,DEBT_CONSOLIDATION,0
56,136682,19639,649,21,1,MORTGAGE,DEBT_CONSOLIDATION,0
44,113070,20994,482,3,2,RENT,DEBT_CONSOLIDATION,0
26,99767,35375,412,27,1,RENT,MAJOR_PURCHASE,0
32,117829,22563,482,11,1,RENT,HOME_IMPROVEMENT,0
32,46614,40341,780,37,0,OWN,SMALL_BUSINESS,0
43,56258,6776,445,35,1,MORTGAGE,DEBT_CONSOLIDATION,0
59,113789,37444,412,4,3,RENT,DEBT_CONSOLIDATION,1
30,62078,4380,775,12,1,RENT,DEBT_CONSOLIDATION,0
68,126288,9711,602,22,2,RENT,HOME_IMPROVEMENT,0
49,103524,9782,417,29,2,RENT,HOME_IMPROVEMENT,0
56,116573,18434,460,36,4,MORTGAGE,MAJOR_PURCHASE,0
66,32219,47765,700,24,2,OWN,HOME_IMPROVEMENT,1
69,20235,21017,497,26,1,MORTGAGE,SMALL_BUSINESS,1
49,62929,31707,559,13,2,RENT,MAJOR_PURCHASE,0
21,147309,40110,346,35,0,MORTGAGE,MAJOR_PURCHASE,1
47,87444,18343,698,38,2,RENT,SMALL_BUSINESS,0
54,28567,39827,377,15,3,OWN,SMALL_BUSINESS,1
40,121834,42652,423,21,0,OWN,SMALL_BUSINESS,0
56,90792,6655,374,20,4,OWN,MAJOR_PURCHASE,1
62,85441,45859,436,20,3,RENT,MAJOR_PURCHASE,1
32,104555,16251,699,7,1,MORTGAGE,MAJOR_PURCHASE,0
60,93698,1526,804,15,1,OWN,SMALL_BUSINESS,0
46,144450,4224,799,30,1,RENT,SMALL_BUSINESS,0
53,137248,48837,437,9,3,RENT,DEBT_CONSOLIDATION,1
30,25415,12536,349,31,3,MORTGAGE,HOME_IMPROVEMENT,1
49,56159,29541,553,33,3,OWN,DEBT_CONSOLIDATION,0
24,63925,14547,725,8,0,RENT,SMALL_BUSINESS,0
68,146523,35531,846,16,0,MORTGAGE,MAJOR_PURCHASE,0
39,25951,9712,601,10,1,OWN,SMALL_BUSINESS,0
45,107388,39565,648,31,2,MORTGAGE,HOME_IMPROVEMENT,0
19,28007,10208,348,9,1,MORTGAGE,DEBT_CONSOLIDATION,1
59,146730,6109,373,21,4,RENT,DEBT_CONSOLIDATION,1
62,61832,36201,560,16,0,RENT,MAJOR_PURCHASE,0
23,78596,17967,655,3,3,RENT,DEBT_CONSOLIDATION,0
45,141101,30759,559,24,0,MORTGAGE,DEBT_CONSOLIDATION,0
45,50523,21172,594,20,3,RENT,SMALL_BUSINESS,0
61,108861,37935,612,36,4,MORTGAGE,DEBT_CONSOLIDATION,0
61,144194,27589,481,37,4,MORTGAGE,DEBT_CONSOLIDATION,0
37,106740,31015,663,0,0,RENT,DEBT_CONSOLIDATION,0
47,35524,30009,487,24,3,OWN,MAJOR_PURCHASE,1
28,149028,18773,842,35,4,OWN,MAJOR_PURCHASE,0
45,39282,42125,847,16,1,OWN,SMALL_BUSINESS,0
42,43930,27143,707,23,1,MORTGAGE,DEBT_CONSOLIDATION,0
56,20077,7154,713,1,3,MORTGAGE,MAJOR_PURCHASE,1
50,125881,22804,641,39,0,MORTGAGE,MAJOR_PURCHASE,1
18,145501,42688,519,14,4,RENT,SMALL_BUSINESS,1
44,40611,21581,462,31,0,MORTGAGE,HOME_IMPROVEMENT,0
69,36984,31087,519,38,1,RENT,DEBT_CONSOLIDATION,1
30,34060,33981,569,5,4,RENT,MAJOR_PURCHASE,1
58,102985,4762,699,0,0,OWN,SMALL_BUSINESS,0
20,104056,47167,481,22,2,OWN,SMALL_BUSINESS,1
56,145329,10768,504,38,3,OWN,SMALL_BUSINESS,0
23,63303,44408,527,16,3,RENT,MAJOR_PURCHASE,1
25,79207,40499,549,33,2,RENT,DEBT_CONSOLIDATION,0
44,95046,39559,740,28,1,RENT,HOME_IMPROVEMENT,0
26,49287,49590,832,8,4,MORTGAGE,DEBT_CONSOLIDATION,0
54,113709,9783,495,12,3,RENT,SMALL_BUSINESS,0
50,59711,47389,818,5,2,OWN,SMALL_BUSINESS,0
68,31954,30781,369,5,2,OWN,HOME_IMPROVEMENT,1
59,93340,31811,698,19,1,RENT,DEBT_CONSOLIDATION,0
61,92101,49787,502,2,1,RENT,SMALL_BUSINESS,1
41,91520,36488,447,16,0,OWN,SMALL_BUSINESS,1
32,107062,9905,771,11,3,RENT,DEBT_CONSOLIDATION,0
49,122974,10127,498,0,0,OWN,SMALL_BUSINESS,0
49,38574,23431,725,16,2,MORTGAGE,DEBT_CONSOLIDATION,0
41,29184,7368,791,2,4,OWN,SMALL_BUSINESS,0
58,39096,28424,441,25,4,MORTGAGE,DEBT_CONSOLIDATION,0
69,87728,47824,612,14,1,RENT,HOME_IMPROVEMENT,0
66,54016,46004,464,35,4,RENT,SMALL_BUSINESS,1
66,31246,19333,613,31,4,MORTGAGE,HOME_IMPROVEMENT,1
69,65558,24116,320,31,4,RENT,SMALL_BUSINESS,1
29,138721,48219,381,3,2,MORTGAGE,SMALL_BUSINESS,1
56,38381,44201,430,17,4,RENT,MAJOR_PURCHASE,1
19,147796,16525,604,18,4,OWN,DEBT_CONSOLIDATION,0
20,56455,24398,670,34,4,RENT,HOME_IMPROVEMENT,1
66,112263,33857,683,39,0,OWN,HOME_IMPROVEMENT,0
54,24018,11361,744,13,2,OWN,HOME_IMPROVEMENT,0
66,31302,17369,724,32,1,MORTGAGE,DEBT_CONSOLIDATION,1
34,87506,4041,460,13,0,RENT,MAJOR_PURCHASE,0
66,61157,1105,477,33,3,MORTGAGE,HOME_IMPROVEMENT,0
19,74917,10078,789,3,2,RENT,DEBT_CONSOLIDATION,0
19,112738,26003,626,23,2,OWN,SMALL_BUSINESS,0
45,116646,7090,588,28,3,OWN,HOME_IMPROVEMENT,0
40,103122,39850,653,18,3,RENT,HOME_IMPROVEMENT,0
54,44519,2925,327,5,3,RENT,MAJOR_PURCHASE,1
49,116809,19440,342,32,1,MORTGAGE,HOME_IMPROVEMENT,0
50,107487,40685,722,39,4,RENT,HOME_IMPROVEMENT,0
18,76819,27015,476,18,2,RENT,SMALL_BUSINESS,1
36,100910,34320,828,0,4,RENT,DEBT_CONSOLIDATION,0
19,140430,26291,793,4,4,MORTGAGE,DEBT_CONSOLIDATION,0
61,91324,37679,497,26,3,RENT,MAJOR_PURCHASE,1
43,25408,27289,816,15,1,OWN,SMALL_BUSINESS,1
49,79379,4389,813,5,0,MORTGAGE,DEBT_CONSOLIDATION,0
23,45053,26683,321,39,1,MORTGAGE,SMALL_BUSINESS,1
49,29446,14629,411,12,4,OWN,DEBT_CONSOLIDATION,1
21,20922,25826,356,34,1,OWN,SMALL_BUSINESS,1
28,118723,36198,365,18,3,OWN,MAJOR_PURCHASE,1
34,71356,27630,397,11,0,RENT,HOME_IMPROVEMENT,0
55,30789,34226,443,15,3,OWN,MAJOR_PURCHASE,1
41,117720,47163,734,9,0,RENT,DEBT_CONSOLIDATION,0
22,86656,33975,385,24,4,MORTGAGE,MAJOR_PURCHASE,1
69,64028,1899,643,19,0,MORTGAGE,HOME_IMPROVEMENT,0
51,84484,12653,593,30,0,OWN,MAJOR_PURCHASE,0
23,52154,28961,542,3,0,RENT,DEBT_CONSOLIDATION,0
39,102870,17405,331,22,1,OWN,DEBT_CONSOLIDATION,1
28,22336,9601,690,1,1,OWN,MAJOR_PURCHASE,0
65,123677,34662,576,21,4,RENT,HOME_IMPROVEMENT,0
33,87779,34282,831,36,0,OWN,MAJOR_PURCHASE,0
50,39029,22288,453,7,2,MORTGAGE,HOME_IMPROVEMENT,1
26,79201,30545,682,6,4,OWN,SMALL_BUSINESS,0
23,52265,37877,367,13,0,RENT,HOME_IMPROVEMENT,1
33,122916,47026,513,2,0,RENT,SMALL_BUSINESS,0
46,132250,16313,675,15,1,MORTGAGE,MAJOR_PURCHASE,0
20,136553,16349,512,18,4,RENT,HOME_IMPROVEMENT,1
37,63872,8179,378,17,0,RENT,SMALL_BUSINESS,0
53,66197,11326,680,15,0,MORTGAGE,SMALL_BUSINESS,0
36,145733,45555,357,7,4,OWN,SMALL_BUSINESS,1
43,75180,2560,325,32,2,MORTGAGE,DEBT_CONSOLIDATION,0
20,43710,14612,746,11,4,OWN,MAJOR_PURCHASE,0
36,49486,18650,365,10,4,MORTGAGE,SMALL_BUSINESS,1
37,91907,27745,553,4,2,OWN,HOME_IMPROVEMENT,1
49,148876,32890,343,26,4,MORTGAGE,SMALL_BUSINESS,1
24,91895,21022,396,11,0,OWN,DEBT_CONSOLIDATION,0
69,84435,5780,526,16,4,MORTGAGE,MAJOR_PURCHASE,0
58,60631,19311,735,5,2,OWN,DEBT_CONSOLIDATION,0
50,149038,29380,678,32,3,MORTGAGE,DEBT_CONSOLIDATION,0
57,121532,45662,477,4,4,RENT,DEBT_CONSOLIDATION,1
56,40103,3356,726,27,1,OWN,HOME_IMPROVEMENT,0
35,84772,5790,606,13,0,MORTGAGE,MAJOR_PURCHASE,0
57,146108,27911,803,4,0,OWN,MAJOR_PURCHASE,0
18,34382,25363,567,32,1,OWN,HOME_IMPROVEMENT,1
28,104291,21049,307,18,1,MORTGAGE,MAJOR_PURCHASE,1
45,121195,11181,807,21,4,OWN,DEBT_CONSOLIDATION,0
42,23756,40825,775,4,1,MORTGAGE,MAJOR_PURCHASE,1
67,40609,17082,596,1,3,RENT,HOME_IMPROVEMENT,0
40,134074,1661,463,29,2,OWN,DEBT_CONSOLIDATION,0
48,36478,38412,784,38,1,RENT,HOME_IMPROVEMENT,0
47,120978,49479,371,3,1,OWN,SMALL_BUSINESS,1
59,59666,3920,537,32,3,OWN,DEBT_CONSOLIDATION,1
52,95683,26658,403,12,0,OWN,DEBT_CONSOLIDATION,0
24,119097,49770,509,19,0,MORTGAGE,MAJOR_PURCHASE,0
33,144714,15025,767,6,4,RENT,DEBT_CONSOLIDATION,0
43,120420,9946,753,14,3,OWN,HOME_IMPROVEMENT,0
65,91315,29706,567,22,2,MORTGAGE,MAJOR_PURCHASE,0
69,97834,46500,685,13,2,OWN,SMALL_BUSINESS,0
66,146205,40004,686,22,3,MORTGAGE,HOME_IMPROVEMENT,0
19,34153,17309,558,18,2,OWN,SMALL_BUSINESS,1
18,129415,47286,582,28,0,RENT,SMALL_BUSINESS,0
65,96325,34120,339,19,2,RENT,SMALL_BUSINESS,0
29,129701,31027,785,28,2,OWN,DEBT_CONSOLIDATION,0
22,32999,8005,519,23,3,MORTGAGE,HOME_IMPROVEMENT,1
54,75318,47804,428,17,3,OWN,HOME_IMPROVEMENT,1
49,20814,1956,819,9,2,MORTGAGE,DEBT_CONSOLIDATION,0
26,135033,35839,559,7,1,OWN,MAJOR_PURCHASE,0
58,96077,9595,665,25,3,MORTGAGE,SMALL_BUSINESS,0
52,110474,48908,843,28,4,RENT,HOME_IMPROVEMENT,0
36,22443,13803,823,9,4,OWN,DEBT_CONSOLIDATION,0
65,95993,26963,315,16,0,RENT,SMALL_BUSINESS,0
33,95916,37221,428,1,2,RENT,MAJOR_PURCHASE,1
20,93319,40443,408,5,1,OWN,MAJOR_PURCHASE,1
37,145885,34723,832,4,0,OWN,SMALL_BUSINESS,0
41,129777,40063,568,27,2,MORTGAGE,MAJOR_PURCHASE,0
50,37368,49689,461,4,3,MORTGAGE,HOME_IMPROVEMENT,0
41,35328,16282,559,17,4,RENT,HOME_IMPROVEMENT,1
69,76942,5703,401,25,1,MORTGAGE,HOME_IMPROVEMENT,0
28,111751,7563,805,19,4,MORTGAGE,MAJOR_PURCHASE,0
66,119131,26849,546,26,3,OWN,HOME_IMPROVEMENT,0
25,47306,32860,836,11,2,MORTGAGE,DEBT_CONSOLIDATION,0
53,105451,32585,430,6,3,RENT,HOME_IMPROVEMENT,1
55,59915,23015,652,2,3,MORTGAGE,HOME_IMPROVEMENT,1
57,57219,13003,495,9,4,RENT,MAJOR_PURCHASE,0
37,100879,44585,681,33,1,OWN,HOME_IMPROVEMENT,0
52,131939,27958,526,24,3,RENT,SMALL_BUSINESS,0
65,84644,27017,775,34,4,MORTGAGE,DEBT_CONSOLIDATION,0
42,80279,12171,776,15,1,OWN,MAJOR_PURCHASE,0
52,73028,46350,564,1,2,MORTGAGE,DEBT_CONSOLIDATION,0
42,124263,13201,671,23,2,OWN,SMALL_BUSINESS,0
46,20126,30426,785,9,0,OWN,MAJOR_PURCHASE,1
35,72329,18778,733,37,4,MORTGAGE,MAJOR_PURCHASE,0
63,47632,46241,510,21,1,MORTGAGE,HOME_IMPROVEMENT,1
35,127099,43229,676,25,3,OWN,DEBT_CONSOLIDATION,1
19,85310,22116,694,38,2,OWN,SMALL_BUSINESS,0
52,129945,49364,749,26,1,MORTGAGE,SMALL_BUSINESS,0
33,75176,34297,663,28,4,RENT,MAJOR_PURCHASE,0
58,139797,20342,756,37,0,MORTGAGE,HOME_IMPROVEMENT,0
53,106066,28490,525,19,2,OWN,MAJOR_PURCHASE,1
50,125500,20975,430,26,1,MORTGAGE,MAJOR_PURCHASE,0
21,146413,27723,775,19,1,RENT,MAJOR_PURCHASE,0
50,64327,24279,576,18,1,MORTGAGE,MAJOR_PURCHASE,0
31,88904,13765,455,19,4,OWN,SMALL_BUSINESS,0
38,23797,47678,517,34,4,MORTGAGE,SMALL_BUSINESS,1
65,67882,12561,489,1,4,OWN,MAJOR_PURCHASE,0
37,33718,42899,716,29,3,OWN,MAJOR_PURCHASE,0
25,54560,1525,845,33,1,MORTGAGE,HOME_IMPROVEMENT,1
24,96589,23861,340,21,2,OWN,MAJOR_PURCHASE,1
20,42116,34142,606,2,4,OWN,SMALL_BUSINESS,1
34,56244,27916,637,5,4,RENT,DEBT_CONSOLIDATION,0
50,121721,45965,613,14,1,RENT,SMALL_BUSINESS,0
65,21645,5648,374,26,4,RENT,HOME_IMPROVEMENT,1
29,67523,36133,578,9,3,RENT,SMALL_BUSINESS,0
68,144085,31523,475,8,3,OWN,DEBT_CONSOLIDATION,0
39,137718,30052,572,32,4,MORTGAGE,MAJOR_PURCHASE,0
39,39256,35414,588,31,1,OWN,DEBT_CONSOLIDATION,1
63,121376,33781,571,5,1,OWN,MAJOR_PURCHASE,1
47,120158,5599,365,35,1,OWN,MAJOR_PURCHASE,1
55,73173,36046,782,1,0,MORTGAGE,SMALL_BUSINESS,0
55,57430,48064,547,28,4,RENT,SMALL_BUSINESS,1
62,59282,36923,455,3,1,OWN,SMALL_BUSINESS,0
68,139719,42089,346,0,3,OWN,HOME_IMPROVEMENT,1
25,83374,4814,753,18,2,RENT,SMALL_BUSINESS,0
44,88244,46893,500,25,2,OWN,HOME_IMPROVEMENT,0
44,31694,36984,423,24,1,MORTGAGE,SMALL_BUSINESS,1
51,76264,27616,300,9,2,OWN,MAJOR_PURCHASE,1
38,95060,3113,490,14,2,OWN,HOME_IMPROVEMENT,0
47,117416,44006,815,21,0,RENT,DEBT_CONSOLIDATION,0
50,77545,14760,741,20,3,OWN,HOME_IMPROVEMENT,0
45,138195,22927,442,21,3,OWN,HOME_IMPROVEMENT,1
64,59224,21939,490,35,0,MORTGAGE,DEBT_CONSOLIDATION,0
50,122516,33419,832,33,0,RENT,HOME_IMPROVEMENT,0
22,117945,13588,526,29,2,RENT,MAJOR_PURCHASE,0
65,33224,37142,612,24,4,MORTGAGE,SMALL_BUSINESS,1
36,60738,40198,601,27,2,OWN,DEBT_CONSOLIDATION,0
21,45150,45738,759,0,0,RENT,SMALL_BUSINESS,1
52,83731,34397,700,3,3,RENT,MAJOR_PURCHASE,0
66,69688,17653,692,6,2,OWN,DEBT_CONSOLIDATION,0
34,119929,11831,506,8,4,OWN,SMALL_BUSINESS,0
61,128618,6724,509,35,2,RENT,SMALL_BUSINESS,0
45,93509,12083,414,18,1,OWN,MAJOR_PURCHASE,0
47,28577,46917,550,0,2,RENT,SMALL_BUSINESS,0
46,28070,20816,518,9,0,OWN,MAJOR_PURCHASE,0
63,146161,43240,706,35,3,OWN,HOME_IMPROVEMENT,0
23,28666,7276,742,8,3,MORTGAGE,MAJOR_PURCHASE,1
52,77761,49403,653,31,0,OWN,HOME_IMPROVEMENT,0
58,141178,39663,849,31,1,MORTGAGE,DEBT_CONSOLIDATION,0
54,56368,14994,441,5,0,OWN,SMALL_BUSINESS,0
41,26783,24499,800,37,2,RENT,MAJOR_PURCHASE,0
46,131530,24040,846,16,0,RENT,MAJOR_PURCHASE,0
66,61914,44320,841,9,0,OWN,SMALL_BUSINESS,0
63,90507,17959,806,26,1,OWN,SMALL_BUSINESS,0
48,147738,7099,580,34,2,RENT,DEBT_CONSOLIDATION,0
52,99026,43267,723,20,4,OWN,DEBT_CONSOLIDATION,0
50,135893,20576,569,24,4,MORTGAGE,MAJOR_PURCHASE,0
69,131255,36946,453,27,3,MORTGAGE,DEBT_CONSOLIDATION,0
38,130616,7116,382,14,0,MORTGAGE,HOME_IMPROVEMENT,0
49,87526,16563,725,3,3,MORTGAGE,DEBT_CONSOLIDATION,0
40,90835,27788,574,28,1,MORTGAGE,DEBT_CONSOLIDATION,0
50,65765,27928,583,8,4,OWN,MAJOR_PURCHASE,0
20,39956,37336,472,26,0,OWN,HOME_IMPROVEMENT,1
35,107895,10847,626,25,1,MORTGAGE,DEBT_CONSOLIDATION,0
42,66240,27155,362,18,1,OWN,HOME_IMPROVEMENT,1
59,141008,15135,372,27,0,OWN,HOME_IMPROVEMENT,0
48,57148,18774,674,16,1,MORTGAGE,HOME_IMPROVEMENT,0
20,114270,2742,807,19,0,OWN,SMALL_BUSINESS,0
